District,Year,Crop,Production
7,2009,Wheat,229.4
7,2010,Wheat,339.5
7,2011,Wheat,381.6
7,2012,Wheat,559.1
7,2013,Wheat,546.79
7,2014,Wheat,598.0
7,2015,Wheat,623.0
7,2016,Wheat,827.0
7,2017,Wheat,1037.13
8,1966,Wheat,5.0
8,1967,Wheat,3.0
8,1968,Wheat,6.0
8,1969,Wheat,4.5
8,1970,Wheat,6.8
8,1971,Wheat,5.6
8,1972,Wheat,5.0
8,1973,Wheat,6.6
8,1974,Wheat,7.5
8,1975,Wheat,10.1
8,1976,Wheat,5.5
8,1977,Wheat,8.5
8,1978,Wheat,10.1
8,1979,Wheat,5.2
8,1980,Wheat,14.7
8,1981,Wheat,15.7
8,1982,Wheat,12.2
8,1983,Wheat,7.2
8,1984,Wheat,7.1
8,1985,Wheat,6.1
8,1986,Wheat,21.0
8,1987,Wheat,13.0
8,1988,Wheat,16.6
8,1989,Wheat,18.6
8,1990,Wheat,22.7
8,1991,Wheat,11.7
8,1992,Wheat,13.5
8,1993,Wheat,19.5
8,1994,Wheat,24.8
8,1995,Wheat,22.1
8,1996,Wheat,14.3
8,1997,Wheat,6.5
8,1998,Wheat,14.1
8,1999,Wheat,18.6
8,2000,Wheat,9.8
8,2001,Wheat,14.6
8,2002,Wheat,17.6
8,2003,Wheat,17.4
8,2004,Wheat,7.9
8,2005,Wheat,15.84
8,2006,Wheat,11.43
8,2007,Wheat,13.2
8,2008,Wheat,12.3
8,2009,Wheat,19.5
8,2010,Wheat,22.9
8,2011,Wheat,29.8
8,2012,Wheat,23.72
8,2013,Wheat,22.85
8,2014,Wheat,56.0
8,2015,Wheat,27.0
8,2016,Wheat,64.0
8,2017,Wheat,138.12
9,1966,Wheat,22.4
9,1967,Wheat,28.1
9,1968,Wheat,34.0
9,1969,Wheat,33.3
9,1970,Wheat,40.1
9,1971,Wheat,42.4
9,1972,Wheat,32.2
9,1973,Wheat,35.6
9,1974,Wheat,39.0
9,1975,Wheat,41.4
9,1976,Wheat,29.4
9,1977,Wheat,37.3
9,1978,Wheat,29.7
9,1979,Wheat,31.9
9,1980,Wheat,28.1
9,1981,Wheat,60.3
9,1982,Wheat,89.5
9,1983,Wheat,123.1
9,1984,Wheat,101.9
9,1985,Wheat,120.0
9,1986,Wheat,95.0
9,1987,Wheat,103.0
9,1988,Wheat,110.3
9,1989,Wheat,86.8
9,1990,Wheat,137.0
9,1991,Wheat,58.5
9,1992,Wheat,90.9
9,1993,Wheat,152.2
9,1994,Wheat,201.8
9,1995,Wheat,134.7
9,1996,Wheat,158.1
9,1997,Wheat,86.7
9,1998,Wheat,175.4
9,1999,Wheat,272.7
9,2000,Wheat,92.9
9,2001,Wheat,84.9
9,2002,Wheat,105.1
9,2003,Wheat,170.2
9,2004,Wheat,145.57
9,2005,Wheat,139.56
9,2006,Wheat,198.97
9,2007,Wheat,223.4
9,2008,Wheat,175.2
9,2009,Wheat,425.2
9,2010,Wheat,388.9
9,2011,Wheat,278.84
9,2012,Wheat,438.74
9,2013,Wheat,332.52
9,2014,Wheat,455.0
9,2015,Wheat,636.0
9,2016,Wheat,578.0
9,2017,Wheat,619.2
10,1966,Wheat,14.0
10,1967,Wheat,25.0
10,1968,Wheat,38.0
10,1969,Wheat,39.9
10,1970,Wheat,52.0
10,1971,Wheat,40.2
10,1972,Wheat,39.8
10,1973,Wheat,41.4
10,1974,Wheat,48.4
10,1975,Wheat,41.7
10,1976,Wheat,38.8
10,1977,Wheat,33.1
10,1978,Wheat,45.1
10,1979,Wheat,22.5
10,1980,Wheat,46.5
10,1981,Wheat,61.5
10,1982,Wheat,53.9
10,1983,Wheat,53.2
10,1984,Wheat,68.4
10,1985,Wheat,63.2
10,1986,Wheat,63.0
10,1987,Wheat,71.0
10,1988,Wheat,83.2
10,1989,Wheat,80.2
10,1990,Wheat,112.9
10,1991,Wheat,134.5
10,1992,Wheat,146.1
10,1993,Wheat,161.6
10,1994,Wheat,181.8
10,1995,Wheat,160.5
10,1996,Wheat,176.8
10,1997,Wheat,120.3
10,1998,Wheat,163.3
10,1999,Wheat,259.4
10,2000,Wheat,252.8
10,2001,Wheat,216.4
10,2002,Wheat,170.6
10,2003,Wheat,181.7
10,2004,Wheat,168.94
10,2005,Wheat,161.66
10,2006,Wheat,151.93
10,2007,Wheat,157.5
10,2008,Wheat,189.7
10,2009,Wheat,169.4
10,2010,Wheat,226.9
10,2011,Wheat,253.2
10,2012,Wheat,240.82
10,2013,Wheat,198.02
10,2014,Wheat,305.0
10,2015,Wheat,388.0
10,2016,Wheat,404.0
10,2017,Wheat,320.71
11,1966,Wheat,29.0
11,1967,Wheat,28.0
11,1968,Wheat,38.0
11,1969,Wheat,35.4
11,1970,Wheat,33.6
